Instr Code     Open     High      Low    Close   %Chg  Trade       Volume    Value(Mn)

ICB1STNRB     18.60    19.00    18.60    18.90   0.53     17        14700        0.278
ICB2NDNRB      7.90     7.90     7.90     7.90   0.00      1          500        0.004
ICB3RDNRB      4.70     4.80     4.70     4.70   0.00     20       159050        0.748
ICBAMCL2ND     5.30     5.40     5.30     5.40   1.89      3        17000        0.092
ICBEPMF1S1     6.00     6.10     6.00     6.10   0.00     27        52500        0.318
ICBSONALI1     6.10     6.10     6.10     6.10   0.00      6         7300        0.045
IFIC1STMF      4.90     5.00     4.90     4.90  -2.00     16       218151        1.071
IFILISLMF1     6.80     6.90     6.70     6.90   1.47     62       171055        1.168
LRGLOBMF1      6.70     6.70     6.60     6.60  -1.49      6        10723        0.071
MBL1STMF       7.10     7.10     6.80     6.90  -1.43     27       442851        3.062
NCCBLMF1       6.90     6.90     6.80     6.90  -1.43     22       302200        2.081
NLI1STMF      12.60    12.60    12.50    12.60   0.80      3         8000        0.101
PF1STMF        4.90     4.90     4.90     4.90   0.00     44       257341        1.261
PHPMF1         4.60     4.70     4.60     4.60   0.00     50        32198        0.149
POPULAR1MF     4.60     4.70     4.60     4.60   0.00     29       103263        0.476
PRIME1ICBA     5.20     5.30     5.20     5.20   1.96     13        38259        0.199
RELIANCE1      8.30     8.50     8.30     8.50   2.41     25        86837        0.736
SEBL1STMF     11.60    11.60    11.50    11.60  -1.69      4        11800        0.137
SEMLLECMF      9.80     9.80     9.80     9.80   1.03      7        14300        0.140
TRUSTB1MF      5.10     5.20     5.10     5.10   0.00     42       423527        2.182
VAMLRBBF       8.50     8.50     8.40     8.50   0.00     22        14050        0.119
                                                      ------    ---------    ---------
